Date,Team,Final Result,Goals,,,
13/4/2022,vs AIFK,0-1,,,,
23/4/2022,vs Peimari United,3-0,Onni Helen, Nikklas, Otto Nasi,
4/5/2022,vs TOVE,3-0,Onni Helen x 2, Linna,,
10/5/2022,vs PIF2,2-0,Severi, Zegy,,
16/5/2022,vs TPK,3-0,Onni Helen, Linna, Severi,
21/5/2022,vs MAPS,4-0,Linna, Holopainen, Severi, Sanne
27/5/2022,vs PaiHa,1-2,Jonni Lehto,,,
31/5/2022,vs Inter Turku,3-0,Otto Nasi, Otto ohvo, Leevi,
9/6/2022,vs P-Lirot,1-2,Zegy,,,
21/6/2022,VG-62,1-3,Holopainen,,,
27/7/2022,AIFK,0-2,,,,
4/8/2022,vs Peimari United,2-2,C. Linna x 2,,,
13/8/2022,vs TPK,2-1,Nikklas, Otto Ohvo,,
19/8/2022,vs TOVE,5-0,Severi Poysa, Harris Zeb, Otto Ohvo, Moberg
25/8/2022,vs PIF2,2-1,Moberg, Pajula,,
1/9/2022,vs MAPS,0-0,,,,
6/9/2022,vs PaiHa,5-0,Onni Helen, C. Linna x 2, Holopainen, Pajula
14/9/2022,vs Inter Turku,1-2,Zegy,,,
20/9/2022,vs P-Lirot,0-1,,,,
30/9/2022,vs FC Aland,0-3,,,,
7/10/2022,vs VG-62,2-3,C. Linna , Otto Nasi,,
